"code","Average Return","Std Dev (Sigma_Ri)","beta","Sigma Epsilon","Treynor Ratio (TR)","Ci"
"ADANIPORTS",0.16428953576145466,0.021676409958011886,-0.020061143229995443,0.021675720681399245,-5.198583877588833,-0.0003306087420829762
"ASIANPAINT",1.4902213026774005,0.015236315998687217,0.03574907845396896,0.015233201725159382,40.00722157129097,-0.0003306087420829762
"AXISBANK",0.5421390584186265,0.019237054658748944,0.02093805777591542,0.01923620858855424,23.02692368024795,0.016021612830816344
"BAJAJ-AUTO",0.4748090938918461,0.014824605634051458,-0.06733031003058977,0.014813248543094314,-6.16080772097126,0.018044710078998414
"BAJAJFINSV",6.359233141505098,0.019490170068114338,-0.017776351199534916,0.019489568147859123,-354.36029986119456,0.008586424797087988
"BAJFINANCE",12.101663368088575,0.021511963861079834,0.10336937703838601,0.02149351571897594,116.49159270464527,-0.013255635560309202
"BHARTIARTL",0.43009170535302,0.019924287118353416,-0.018380613388451175,0.019923657602448925,-20.13489416982974,0.1860531703484958
"BPCL",2.237217934834125,0.021510652670425966,-0.1785294145844837,0.021455573805594246,-12.195289722432948,0.1847740480111338
"BRITANNIA",2.492679586239474,0.015759652312161674,0.022551640929771754,0.015758454223910645,107.87151116032315,0.12170297069967607
"CIPLA",-0.2204709418768378,0.016043905070371376,0.0006389856256440692,0.016043904125582563,-438.9315355789663,0.13793781788698786
"COALINDIA",-0.256757667653534,0.016334424948107135,0.026727795197223046,0.01633280124492258,-11.851245690719914,0.1378865792125179
"DRREDDY",-0.05416525814312245,0.017846264179862424,-0.06859250924348125,0.017836474063827146,1.6643983344868267,0.1355249609807623
"EICHERMOT",0.5448189787625104,0.02044406657662431,0.018771423515907812,0.02044342669953117,25.827502019314164,0.13718627503196398
"GAIL",0.17917524867867884,0.019004605631001238,0.023789674366297045,0.019003500042781812,5.009536778171081,0.13877765696063246
"GRASIM",0.5230552982419476,0.017387747136356695,0.0037531852024060485,0.017387717060383622,123.37661833077075,0.13933841357303325
"HCLTECH",0.6797127871233641,0.01613074016161457,0.01872998669470057,0.016129932751569466,33.08666456761043,0.13976022994070467
"HDFC",2.19618005400336,0.01926263045246394,0.008228993623524741,0.019262499943011765,259.591895647668,0.14302346143782765
"HDFCBANK",1.8396498970924022,0.010672701863522035,-0.016173255249538474,0.010671791946783983,-110.0365924876618,0.1465015253714145
"HDFCLIFE",0.860893975888414,0.018450131360744325,-0.07870825642001504,0.01843766181761041,-10.175476021404425,0.12791580044463655
"HEROMOTOCO",-0.08082346991267109,0.016110465662330955,-0.04857830185952382,0.016105026744258337,2.898896513918848,0.11414457413826777
"HINDALCO",0.42675763552581936,0.02353799758027611,-0.06712183787144105,0.023530890579356704,-5.4640583028771195,0.11600161759908785
"HINDUNILVR",1.7647533501473198,0.013312706535009483,-0.053051327296930226,0.013304855681702974,-32.13403767648927,0.11267575212004312
"ICICIBANK",0.8361490156382199,0.01975680522890681,0.056213336880141455,0.019750866548860116,13.80720410341644,0.07516403025956997
"INDUSINDBK",0.9430445116346038,0.01758395927030154,0.006698999314906141,0.017583864522966272,131.81737601759644,0.0832978311349775
