Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"INDUSINDBK","609.35","639.00","601.20","637.85","28.50","4.68","134.47","834.12","1,596.55","235.55","-53.64","24.30"
"CIPLA","723.00","754.00","722.65","742.35","20.75","2.88","145.48","1,084.48","814.50","355.30","57.78","-3.80"
"UPL","518.25","532.25","516.05","530.10","14.20","2.75","62.22","327.48","617.75","240.15","-6.03","7.67"
"AXISBANK","441.05","451.90","435.90","450.85","10.30","2.34","173.29","768.26","765.85","286.00","-32.80","2.90"
"BHARTIARTL","475.15","487.65","470.05","485.05","10.95","2.31","308.57","1,481.00","612.00","325.50","41.00","-6.97"
"ICICIBANK","364.05","372.25","363.70","371.70","8.00","2.20","249.68","921.98","552.20","268.30","-9.81","3.19"
"SUNPHARMA","498.00","512.40","496.00","506.50","10.70","2.16","116.87","592.46","564.75","312.00","18.67","-4.14"
"BAJFINANCE","3,475.00","3,524.20","3,455.00","3,515.00","74.30","2.16","38.94","1,361.12","4,923.40","1,783.00","2.81","3.85"
"DRREDDY","4,374.95","4,549.00","4,372.55","4,439.80","75.70","1.73","25.04","1,125.54","4,758.60","2,495.05","62.91","-1.76"
"KOTAKBANK","1,308.10","1,328.85","1,289.00","1,327.00","22.30","1.71","50.30","657.29","1,740.00","1,001.00","-10.03","-0.04"
"GRASIM","711.60","723.50","709.80","718.05","11.05","1.56","29.27","210.20","836.90","385.05","0.19","14.82"
"HDFCBANK","1,068.00","1,076.15","1,058.10","1,073.70","15.75","1.49","82.53","880.19","1,305.50","738.75","-52.16","3.97"
"HDFC","1,754.90","1,777.00","1,742.80","1,763.00","25.00","1.44","31.60","556.15","2,499.90","1,473.45","-13.86","-2.09"
"LT","910.00","915.20","900.00","915.00","12.90","1.43","44.89","406.77","1,551.00","661.00","-31.90","-8.57"
"SHREECEM","19,779.00","20,147.90","19,600.00","20,070.00","280.50","1.42","0.72","143.41","25,355.00","15,410.00","6.21","-6.71"
"POWERGRID","171.85","173.90","171.00","173.45","1.95","1.14","44.21","76.45","211.00","122.15","-14.20","-2.91"
"RELIANCE","2,311.95","2,325.75","2,288.15","2,324.00","21.45","0.93","125.43","2,899.00","2,360.00","866.98","91.95","11.12"
"SBIN","199.90","201.00","197.10","199.80","1.30","0.65","517.63","1,030.34","351.00","149.45","-29.82","3.47"
"HINDALCO","177.40","179.35","174.50","176.90","1.10","0.63","107.27","190.25","221.20","84.90","-11.73","-8.13"
"BRITANNIA","3,720.05","3,766.50","3,715.00","3,742.00","22.50","0.60","3.66","136.84","4,010.00","2,100.00","37.82","-3.27"
"ZEEL","218.50","220.20","216.30","217.00","0.80","0.37","172.16","376.12","364.00","114.00","-37.09","27.57"
"INFY","979.50","994.00","971.65","981.40","3.00","0.31","116.08","1,140.23","994.00","509.25","18.57","2.50"
"ULTRACEMCO","3,917.10","3,954.95","3,885.15","3,924.50","10.40","0.27","3.13","122.75","4,754.10","2,910.00","-1.71","-2.75"
"TATAMOTORS","149.40","149.40","146.55","148.90","0.35","0.24","428.88","634.31","201.70","63.50","15.79","20.52"
"GAIL","92.00","92.75","91.10","92.15","0.20","0.22","84.26","77.40","148.75","65.00","-28.95","-5.63"
"TATASTEEL","407.00","410.55","403.55","405.35","0.70","0.17","91.33","371.53","506.00","250.85","12.25","-4.63"
"HEROMOTOCO","3,028.50","3,051.70","3,005.05","3,033.00","4.50","0.15","9.15","277.63","3,181.35","1,475.00","10.75","3.61"
"BAJAJFINSV","6,130.00","6,159.00","6,027.45","6,118.85","6.70","0.11","4.93","300.62","9,950.00","3,985.30","-15.95","-2.40"
"ONGC","73.75","74.35","73.25","73.70","0.05","0.07","88.83","65.50","149.65","50.00","-43.61","-7.06"
"HINDUNILVR","2,136.90","2,137.00","2,109.00","2,125.00","1.50","0.07","12.24","260.05","2,614.30","1,757.30","17.00","-3.24"
"JSWSTEEL","290.95","294.55","288.75","290.05","0.20","0.07","66.82","195.02","296.75","132.50","28.54","7.59"
"ADANIPORTS","355.10","356.80","351.00","351.70","0.05","0.01","20.42","72.22","428.85","203.00","-5.10","-1.61"
"NTPC","90.90","92.75","90.55","90.80","-0.05","-0.06","268.70","246.69","125.40","73.20","-26.33","-4.72"
"TECHM","790.75","803.10","775.00","790.00","-0.75","-0.09","63.40","501.35","845.90","471.40","9.81","9.56"
"TCS","2,491.40","2,538.00","2,464.60","2,489.00","-2.40","-0.10","73.19","1,831.74","2,538.00","1,506.05","15.77","10.46"
"INFRATEL","204.75","204.75","200.35","202.35","-0.25","-0.12","63.05","127.42","296.50","120.05","-19.69","1.25"
"M&M","619.25","624.00","611.95","614.35","-0.95","-0.15","38.06","234.60","656.00","245.40","14.41","-1.48"
"WIPRO","307.20","311.25","302.75","306.60","-0.60","-0.20","281.56","866.03","311.25","159.40","24.08","8.74"
"NESTLEIND","16,090.00","16,165.90","16,012.00","16,040.00","-43.30","-0.27","0.95","152.77","18,369.95","12,200.00","24.91","-2.33"
"HCLTECH","791.05","809.85","783.05","791.80","-3.15","-0.40","140.25","1,115.63","825.10","375.25","-25.99","10.15"
"IOC","82.70","83.40","81.80","82.30","-0.40","-0.48","117.09","96.64","156.00","71.15","-35.98","-6.00"
"BAJAJ-AUTO","2,957.40","2,960.00","2,921.05","2,942.50","-15.20","-0.51","6.33","185.87","3,315.15","1,788.65","2.37","-5.56"
"COALINDIA","125.65","125.75","123.80","124.15","-0.80","-0.64","115.42","143.53","217.55","119.20","-38.10","-8.71"
"ASIANPAINT","2,045.00","2,049.55","2,009.05","2,017.00","-14.20","-0.70","19.97","404.05","2,069.95","1,431.20","32.58","9.82"
"BPCL","417.50","425.50","412.45","413.80","-3.35","-0.80","83.34","347.24","549.00","252.00","8.89","1.45"
"ITC","184.00","184.20","180.80","181.85","-1.50","-0.82","307.72","559.22","266.30","134.60","-24.04","-8.50"
"EICHERMOT","2,159.40","2,170.30","2,120.00","2,141.00","-18.40","-0.85","12.64","270.17","2,387.25","1,245.01","-87.23","-89.87"
"HDFCLIFE","601.95","601.95","591.05","594.00","-5.45","-0.91","23.72","140.94","647.60","340.00","10.48","0.83"
"MARUTI","7,164.00","7,175.00","7,005.00","7,050.00","-78.85","-1.11","8.94","632.50","7,758.70","4,001.10","9.94","4.16"
"TITAN","1,194.80","1,220.00","1,170.15","1,172.00","-16.00","-1.35","52.04","621.19","1,389.95","720.90","2.04","4.28"
