"Symbol","Average Return","beta","Sigma Epsilon","expectedReturn","Treynor Ratio (TR)","Ci","test","Zi","Wi","wBeta"
"BRITANNIA",2.492679586239474,3.963088759039547,-0.0009177989706029477,1.8218360606040107,0.6138342424682491,0.5747194768227984,"T",171.98544164093533,1.13,0.04478290297714688
"JSWSTEEL",2.269713777678523,3.63809453848338,-0.0005454860066235168,1.6724489688681736,0.6073821761101598,0.5307785474967269,"T",256.64537646203763,1.69,0.06148379770036911
"TITAN",2.243272731252721,3.59955415720562,-0.0005721633301541131,1.654733467762886,0.6065397646211895,0.5099211290969585,"T",240.9792284409659,1.59,0.057232911099569364
"BPCL",2.237217934834125,3.590728706095479,-0.000494613337502423,1.650676754162427,0.6063443142162664,0.49554238526458066,"T",277.7820459583109,1.83,0.06571033532154727
"HDFC",2.19618005400336,3.5309120275654817,-0.0005546428900716508,1.6231813740058145,0.6049938478575544,0.48728488400117226,"T",241.79348251860873,1.59,0.05614150123829116
"HDFCBANK",1.8396498970924022,3.01123485733976,-0.0005593520053226514,1.3843061688754725,0.5910033529117065,0.4824732537753421,"T",188.72498905775177,1.24,0.03733931223101302
"HINDUNILVR",1.7647533501473198,2.9020658997589326,-0.00044809883301445957,1.3341254824222675,0.5874275116526229,0.47790813885351435,"T",222.19911030077884,1.46,0.04237016213648041
"UPL",1.7359322480602564,2.8600563572698454,-0.00016919472269290493,1.314815344023935,0.5859787496145946,0.46957162626315313,"T",574.8383833696623,3.79,0.10839613594052715
"KOTAKBANK",1.6961471754598794,2.8020657678472727,-0.0003734639698829618,1.2881593453816824,0.5839074850540974,0.4669230350527647,"T",251.89647396721537,1.66,0.04651429174626473
"NESTLEIND",1.5304792274752836,2.5605887181870997,-0.0002589363077681394,1.177161820232003,0.5742738835920456,0.4640871014099097,"T",312.0851253942397,2.06,0.052748127594654255
"ASIANPAINT",1.4902213026774005,2.501908900975035,-0.00023262203083404683,1.1501890106174215,0.5716520302238103,0.461548258714916,"T",333.5322433728012,2.2,0.05504199582145077
"MARUTI",1.3439380436133623,2.2886869093756506,-0.00013387816972456934,1.0521792270445158,0.5609933094621571,0.4583178955074643,"T",492.0509613924583,3.24,0.07415345586377109
"IOC",1.2704718152647132,2.1816027794210626,0.000054994748743643525,1.0029568540509208,0.5548543606026846,0.46724133709044213,"T",1090.883436664438,7.19,0.15685723984037442
"SHREECEM",1.2159182330719016,2.102085659564307,0.000007431663516755012,0.9664059539817372,0.5498911178108152,0.4044949070720723,"T",7484.874201686643,49.3,1.0363282301652033
"TCS",0.975336771466325,1.7514149217529795,-0.000025732597751187324,0.8052163747060009,0.5226270257822004,0.393238746370705,"T",1413.1135266317049,9.31,0.1630567292152024
"INDUSINDBK",0.9430445116346038,1.7043458312868573,0.00009351651606194573,0.7835805606187477,0.5181134576237181,0.3970762384363739,"T",361.1942193200869,2.38,0.0405634307846272
"INFY",0.925820181407986,1.6792397048689522,0.000041910569201465106,0.7720402593669138,0.5156024949252582,0.4027296433580037,"T",773.0405912391791,5.09,0.08547330097782967
"HDFCLIFE",0.860893975888414,1.584603483769901,0.00015396960059717565,0.7285397016688004,0.5054223243173881,0.40365710413307576,"T",176.66020021266377,1.16,0.01838140041173085
"ICICIBANK",0.8361490156382199,1.5485353120573453,0.00021228427147594868,0.7119605783011704,0.5012149284520013,0.40422008335647264,"T",118.79878123337078,0.783,0.012125031493409015
"HCLTECH",0.6797127871233641,1.3205143859742596,0.0001307278690661401,0.6071483051962171,0.46929650574472725,0.4045934955866182,"T",97.10367666027055,0.64,0.008451292070235261
"POWERGRID",0.5633686367333648,1.1509315395445519,0.00007443709442948519,0.5291977244349175,0.43735758334727576,0.4047376681388582,"T",45.395976783535765,0.299,0.0034412853032382102
"EICHERMOT",0.5448189787625104,1.123893619817172,0.00032417277183426486,0.516769453594445,0.43137443812642845,0.40475473665613937,"T",5.84249982952923,0.0385,0.00043269904362961125
"ULTRACEMCO",0.5424112578342866,1.1203841338047866,0.00018508073897163173,0.515156280572535,0.43057665962836716,0.4047807336308861,"T",9.191701418260003,0.0606,0.0006789527850857007
"AXISBANK",0.5421390584186265,1.119987376842366,0.00027692799182592667,0.5149739069640429,0.43048615402965007,0.4047973812467049,"T",6.064440889924203,0.04,0.0004479949507369464
"GRASIM",0.5230552982419476,1.0921709515172018,0.00021376635463254376,0.502187787645668,0.42397694023878685,0.4047984004741558,"T",0.7086506934555439,0.00467,0.00005100438343585332
"BAJAJ-AUTO",0.4748090938918461,1.0218474446138168,0.00014223982928180138,0.46986283073109997,0.40594033490842013,0.40473178796429293,"T",26.091936224425464,0.172,0.001757577604735765
